,trend_loss
702,995.30975
703,993.50616
704,991.9952
705,990.1308
706,989.817
707,987.02814
708,989.4043
709,981.2379
710,977.3487
711,975.0476
712,973.4762
713,973.527
714,968.07416
715,964.50354
716,961.60504
717,959.4509
718,957.9744
719,954.291
720,951.12915
721,947.995
722,945.509
723,943.2593
724,939.9385
725,936.69507
726,933.7665
727,931.06177
728,928.27966
729,924.9673
730,921.8335
731,918.9468
732,915.926
733,912.73303
734,909.4678
735,906.3718
736,903.3142
737,900.0535
738,896.77875
739,893.58716
740,890.416
741,887.163
742,883.8026
743,880.4837
744,877.2061
745,873.8587
746,870.4547
747,867.05945
748,863.6861
749,860.2794
750,856.8247
751,853.38165
752,849.9509
753,846.4848
754,842.98645
755,839.4874
756,835.98834
757,832.46466
758,828.91785
759,825.3728
760,821.8246
761,818.2528
762,814.6648
763,811.07477
764,807.47845
765,803.865
766,800.2387
767,796.608
768,792.96796
769,789.3114
770,785.642
771,781.96484
772,778.2763
773,774.57117
774,770.8519
775,767.1206
776,763.37177
777,759.603
778,755.81506
779,752.00665
780,748.173
781,744.3097
782,740.4154
783,736.4852
784,732.51135
785,728.4883
786,724.4091
787,720.2647
788,716.04596
789,711.74426
790,707.3539
791,702.87134
792,698.29913
793,693.65186
794,688.956
795,684.2516
796,679.59076
797,675.0288
798,670.61566
799,666.3826
800,662.3373
801,658.4645
802,654.7337
803,651.10986
804,647.5598
805,644.05817
806,640.58777
807,637.1394
808,633.7092
809,630.2976
810,626.90674
811,623.5397
812,620.19965
813,616.8899
814,613.6129
815,610.3714
816,607.16833
817,604.00775
818,600.8983
819,597.87384
820,595.1681
821,594.458
822,614.2475
823,643.6076
824,1035.4766
825,1070.9244
826,789.0976
827,771.0509
828,873.6188
829,725.1193
830,703.1865
831,754.4494
832,713.3482
833,690.2886
834,712.86285
835,688.39496
836,631.13086
837,631.97345
838,672.8525
839,658.26416
840,611.6616
841,614.0529
842,633.3455
843,612.6703
844,585.4114
845,590.69794
846,604.67664
847,599.098
848,585.7724
849,582.6569
850,582.14954
851,572.405
852,564.9729
853,570.1015
854,573.8825
855,565.7127
856,557.06946
857,557.4856
858,557.47266
859,550.46716
860,545.1222
861,546.47845
862,547.2214
863,542.25726
864,536.3975
865,534.32806
866,533.11115
867,529.6726
868,526.72614
869,525.697
870,523.55804
871,519.8067
872,517.2918
873,516.1096
874,513.99146
875,511.3598
876,510.02835
877,509.04926
878,506.77017
879,504.27118
880,502.9914
881,501.95215
882,500.1298
883,498.34863
884,497.08588
885,495.59525
886,493.79364
887,492.30383
888,490.9729
889,489.4334
890,487.95267
891,486.58414
892,485.02573
893,483.4363
894,482.11166
895,480.80176
896,479.29825
897,477.8618
898,476.55115
899,475.12936
900,473.64337
901,472.29016
902,470.96613
903,469.53586
904,468.1091
905,466.7244
906,465.2835
907,463.815
908,462.38742
909,460.94214
910,459.4468
911,457.95575
912,456.46103
913,454.93396
914,453.41824
915,451.9263
916,450.41595
917,448.9043
918,447.42734
919,445.95715
920,444.48315
921,443.03665
922,441.60852
923,440.1734
924,438.74545
925,437.3336
926,435.9243
927,434.52252
928,433.13394
929,431.74832
930,430.3692
931,429.00586
932,427.65268
933,426.31003
934,424.98517
935,423.67334
936,422.3714
937,421.0856
938,419.81433
939,418.55347
940,417.3058
941,416.07068
942,414.84454
943,413.6295
944,412.42725
945,411.23492
946,410.05338
947,408.88345
948,407.72385
949,406.5753
950,405.4384
951,404.31183
952,403.19577
953,402.09064
954,400.9952
955,399.90952
956,398.8341
957,397.76788
958,396.71045
959,395.6623
960,394.62283
961,393.59164
962,392.56915
963,391.5548
964,390.54825
965,389.54974
966,388.55893
967,387.5756
968,386.59967
969,385.63086
970,384.66916
971,383.7143
972,382.76608
973,381.8243
974,380.88895
975,379.95978
976,379.03653
977,378.1194
978,377.20795
979,376.3021
980,375.4017
981,374.5067
982,373.6169
983,372.73218
984,371.85242
985,370.97757
986,370.10736
987,369.24176
988,368.3806
989,367.52386
990,366.6713
991,365.8229
992,364.97845
993,364.13812
994,363.30148
995,362.46857
996,361.6394
997,360.81366
998,359.99142
999,359.1726
1000,358.35706
1001,357.54465
1002,356.7354
1003,355.92923
1004,355.12604
1005,354.3257
1006,353.52826
1007,352.73355
1008,351.94144
1009,351.152
1010,350.36508
1011,349.58063
1012,348.79852
1013,348.01886
1014,347.2414
1015,346.4662
1016,345.6931
1017,344.92212
1018,344.15308
1019,343.38602
1020,342.6209
1021,341.85754
1022,341.09592
1023,340.33603
1024,339.5777
1025,338.82092
1026,338.0656
1027,337.31177
1028,336.55917
1029,335.80786
1030,335.05774
1031,334.30872
1032,333.56073
1033,332.81366
1034,332.06738
1035,331.32196
1036,330.57715
1037,329.8329
1038,329.08905
1039,328.34564
1040,327.60245
1041,326.85934
1042,326.11624
1043,325.37302
1044,324.62955
1045,323.88565
1046,323.14117
1047,322.39603
1048,321.65
1049,320.90283
1050,320.15454
1051,319.4048
1052,318.65338
1053,317.90015
1054,317.1449
1055,316.38754
1056,315.62772
1057,314.86523
1058,314.09985
1059,313.3315
1060,312.5599
1061,311.78485
1062,311.0063
1063,310.22394
1064,309.4379
1065,308.64798
1066,307.8542
1067,307.0566
1068,306.25534
1069,305.45047
1070,304.64233
1071,303.83124
1072,303.01746
1073,302.2015
1074,301.38382
1075,300.56494
1076,299.74545
1077,298.92593
1078,298.10684
1079,297.2888
1080,296.4721
1081,295.6571
1082,294.8442
1083,294.03363
1084,293.22528
1085,292.41934
1086,291.6155
1087,290.81354
1088,290.0132
1089,289.2141
1090,288.41586
1091,287.61798
1092,286.81998
1093,286.0215
1094,285.22208
1095,284.42126
1096,283.61884
1097,282.81442
1098,282.00787
1099,281.19894
1100,280.38766
1101,279.57394
1102,278.7579
1103,277.9397
1104,277.1195
1105,276.29736
1106,275.47388
1107,274.64926
1108,273.82385
1109,272.99796
1110,272.1721
1111,271.34644
1112,270.52155
1113,269.69763
1114,268.87506
1115,268.0542
1116,267.23517
1117,266.41827
1118,265.60367
1119,264.79144
1120,263.98172
1121,263.1746
1122,262.37012
1123,261.5681
1124,260.76874
1125,259.97186
1126,259.17737
1127,258.38535
1128,257.5954
1129,256.80774
1130,256.0221
1131,255.23834
1132,254.45644
1133,253.67624
1134,252.89766
1135,252.12057
